"","id","training_condition","attempt","role","future_role","partner","training","training_encounter","strategy_accept","strategy_reject","all_correct"
"20","id0018","training_receiver_others",1,"I will be responding to offers.","I will be responding to offers.","I will play with both AI and human participants.","I will be training an AI to respond to offers.","No","The AI responder will learn to accept $5","The AI responder will learn to reject $3",0
"21","id0019","training_receiver_self",1,"I will be responding to offers.","I will be proposing offers.","I will play with both AI and human participants.","I will be training an AI to propose offers. ","Yes","The AI responder will learn to accept $1","The AI responder will learn to reject $1",0
"22","id0019","training_receiver_self",2,"I will be responding to offers.","I will be proposing offers.","I will play with both AI and human participants.","I will be training an AI to respond to offers.","Yes","The AI responder will learn to accept $3","The AI responder will learn to reject $3",1
"23","id0020","training_receiver_self",1,"I will be responding to offers.","I will be proposing offers.","I will only play with AI.","I will be training an AI to respond to offers.","Yes","The AI responder will learn to accept $6","The AI responder will learn to reject $1",0
"24","id0020","training_receiver_self",2,"I will be responding to offers.","I will be proposing offers.","I will play with both AI and human participants.","I will be training an AI to respond to offers.","Yes","The AI responder will learn to accept $5","The AI responder will learn to reject $2",1
"25","id0021","training_receiver_self",1,"I will be responding to offers.","I will be proposing offers.","I will play with both AI and human participants.","I will be training an AI to respond to offers.","Yes","The AI responder will learn to accept $1","The AI responder will learn to reject $5",1
"26","id0022","control",1,"I will be responding to offers.","I will be proposing offers.","I will play with both AI and human participants.","Question not asked","Question not asked","Question not asked","Question not asked",1
"27","id0023","training_receiver_self",2,"I will be responding to offers.","I will be proposing offers.","I will play with both AI and human participants.","I will be training an AI to respond to offers.","Yes","The AI responder will learn to accept $2","The AI responder will learn to reject $4",1
"28","id0023","training_receiver_self",1,"I will be responding to offers.","I will be proposing offers.","I will play with both AI and human participants.","I will be training an AI to propose offers. ","Yes","The AI responder will learn to accept $6","The AI responder will learn to reject $3",0
"29","id0024","training_receiver_others",1,"I will be responding to offers.","I will be proposing offers.","I will only play with AI.","I will be training an AI to respond to offers.","No","The AI responder will learn to accept $1","The AI responder will learn to reject $4",0
"30","id0024","training_receiver_others",2,"I will be responding to offers.","I will be proposing offers.","I will play with both AI and human participants.","I will be training an AI to respond to offers.","No","The AI responder will learn to accept $1","The AI responder will learn to reject $5",1
"31","id0025","control",1,"I will be responding to offers.","I will be proposing offers.","I will play with both AI and human participants.","Question not asked","Question not asked","Question not asked","Question not asked",1
"32","id0026","training_receiver_self",1,"I will be responding to offers.","I will be responding to offers.","I will only play with AI.","I will be training an AI to respond to offers.","No","The AI responder will learn to accept $1","The AI responder will learn to reject $5",0
"33","id0026","training_receiver_self",2,"I will be responding to offers.","I will be responding to offers.","I will only play with AI.","I will be training an AI to respond to offers.","Yes","The AI responder will learn to accept $6","The AI responder will learn to reject $3",0
"34","id0026","training_receiver_self",3,"I will be responding to offers.","I will be proposing offers.","I will only play with AI.","I will be training an AI to respond to offers.","Yes","The AI responder will learn to accept $6","The AI responder will learn to accept $3",0
"35","id0026","training_receiver_self",5,"I will be responding to offers.","I will be proposing offers.","I will only play with AI.","I will be training an AI to respond to offers.","Yes","The AI responder will learn to accept $2","The AI responder will learn to reject $4",0
"36","id0026","training_receiver_self",6,"I will be responding to offers.","I will be proposing offers.","I will only play with human participants recruited from a separate Prolific experiment.","I will be training an AI to propose offers. ","Yes","The AI responder will learn to accept $1","The AI responder will learn to reject $5",0
"37","id0026","training_receiver_self",7,"I will be responding to offers.","I will be responding to offers.","I will play with both AI and human participants.","I will be training an AI to respond to offers.","Yes","The AI responder will learn to accept $2","The AI responder will learn to reject $2",0
"38","id0026","training_receiver_self",8,"I will be responding to offers.","I will be responding to offers.","I will only play with AI.","I will be training an AI to respond to offers.","Yes","The AI responder will learn to accept $1","The AI responder will learn to reject $5",0
"39","id0026","training_receiver_self",9,"I will be proposing offers.","I will be responding to offers.","I will only play with AI.","I will be training an AI to propose offers. ","Yes","The AI responder will learn to accept $5","The AI responder will learn to reject $2",0
"40","id0026","training_receiver_self",10,"I will be responding to offers.","I will be proposing offers.","I will play with both AI and human participants.","I will be training an AI to respond to offers.","Yes","The AI responder will learn to accept $4","The AI responder will learn to reject $1",1
"41","id0026","training_receiver_self",4,"I will be responding to offers.","I will be responding to offers.","I will only play with AI.","I will be training an AI to respond to offers.","Yes","The AI responder will learn to accept $1","The AI responder will learn to reject $3",0
"42","id0027","training_receiver_self",1,"I will be responding to offers.","I will be proposing offers.","I will only play with AI.","I will be training an AI to respond to offers.","No","The AI responder will learn to accept $2","The AI responder will learn to reject $4",0
"43","id0027","training_receiver_self",2,"I will be responding to offers.","I will be proposing offers.","I will play with both AI and human participants.","I will be training an AI to respond to offers.","No","The AI responder will learn to accept $3","The AI responder will learn to reject $2",0
"44","id0027","training_receiver_self",3,"I will be responding to offers.","I will be proposing offers.","I will play with both AI and human participants.","I will be training an AI to respond to offers.","Yes","The AI responder will learn to accept $6","The AI responder will learn to reject $1",1
"45","id0028","training_receiver_others",2,"I will be responding to offers.","I will be proposing offers.","I will play with both AI and human participants.","I will be training an AI to respond to offers.","No","The AI responder will learn to accept $2","The AI responder will learn to reject $2",1
"46","id0028","training_receiver_others",1,"I will be responding to offers.","I will be proposing offers.","I will play with both AI and human participants.","I will be training an AI to respond to offers.","Yes","The AI responder will learn to accept $2","The AI responder will learn to reject $1",0
"47","id0029","control",1,"I will be responding to offers.","I will be proposing offers.","I will play with both AI and human participants.","Question not asked","Question not asked","Question not asked","Question not asked",1
"48","id0031","control",1,"I will be responding to offers.","I will be proposing offers.","I will play with both AI and human participants.","Question not asked","Question not asked","Question not asked","Question not asked",1
"49","id0033","training_receiver_self",1,"I will be responding to offers.","I will be proposing offers.","I will play with both AI and human participants.","I will be training an AI to respond to offers.","Yes","The AI responder will learn to accept $2","The AI responder will learn to reject $2",1
"50","id0034","training_receiver_self",1,"I will be responding to offers.","I will be responding to offers.","I will play with both AI and human participants.","I will be training an AI to respond to offers.","Yes","The AI responder will learn to accept $1","The AI responder will learn to reject $3",0
"51","id0034","training_receiver_self",2,"I will be responding to offers.","I will be proposing offers.","I will play with both AI and human participants.","I will be training an AI to respond to offers.","Yes","The AI responder will learn to accept $6","The AI responder will learn to reject $6",1
"52","id0035","training_receiver_others",1,"I will be responding to offers.","I will be proposing offers.","I will play with both AI and human participants.","I will be training an AI to respond to offers.","No","The AI responder will learn to accept $6","The AI responder will learn to reject $2",1
"53","id0036","control",1,"I will be responding to offers.","I will be proposing offers.","I will play with both AI and human participants.","Question not asked","Question not asked","Question not asked","Question not asked",1
"54","id0037","training_receiver_others",2,"I will be responding to offers.","I will be proposing offers.","I will play with both AI and human participants.","I will be training an AI to respond to offers.","No","The AI responder will learn to accept $5","The AI responder will learn to reject $3",1
"55","id0037","training_receiver_others",1,"I will be responding to offers.","I will be proposing offers.","I will play with both AI and human participants.","I will be training an AI to respond to offers.","Yes","The AI responder will learn to accept $4","The AI responder will learn to reject $2",0
"56","id0038","training_receiver_self",1,"I will be responding to offers.","I will be proposing offers.","I will play with both AI and human participants.","I will be training an AI to respond to offers.","Yes","The AI responder will learn to accept $1","The AI responder will learn to reject $3",1
"57","id0039","training_receiver_others",1,"I will be responding to offers.","I will be proposing offers.","I will play with both AI and human participants.","I will be training an AI to propose offers. ","No","The AI responder will learn to accept $3","The AI responder will learn to reject $2",0
"58","id0039","training_receiver_others",2,"I will be responding to offers.","I will be proposing offers.","I will play with both AI and human participants.","I will be training an AI to respond to offers.","No","The AI responder will learn to accept $5","The AI responder will learn to reject $5",1
"59","id0040","training_receiver_self",1,"I will be responding to offers.","I will be proposing offers.","I will play with both AI and human participants.","I will be training an AI to respond to offers.","Yes","The AI responder will learn to accept $3","The AI responder will learn to reject $1",1
"60","id0041","training_receiver_others",1,"I will be responding to offers.","I will be proposing offers.","I will play with both AI and human participants.","I will be training an AI to respond to offers.","No","The AI responder will learn to accept $4","The AI responder will learn to reject $6",1
"61","id0042","control",1,"I will be responding to offers.","I will be proposing offers.","I will play with both AI and human participants.","Question not asked","Question not asked","Question not asked","Question not asked",1
"62","id0043","training_receiver_self",1,"I will be responding to offers.","I will be proposing offers.","I will play with both AI and human participants.","I will be training an AI to respond to offers.","Yes","The AI responder will learn to accept $2","The AI responder will learn to reject $6",1
"63","id0044","training_receiver_others",1,"I will be responding to offers.","I will be proposing offers.","I will play with both AI and human participants.","I will be training an AI to respond to offers.","No","The AI responder will learn to accept $5","The AI responder will learn to reject $5",1
"64","id0045","control",1,"I will be responding to offers.","I will be proposing offers.","I will play with both AI and human participants.","Question not asked","Question not asked","Question not asked","Question not asked",1
"65","id0046","control",1,"I will be responding to offers.","I will be proposing offers.","I will play with both AI and human participants.","Question not asked","Question not asked","Question not asked","Question not asked",1
"66","id0047","training_receiver_others",1,"I will be responding to offers.","I will be proposing offers.","I will play with both AI and human participants.","I will be training an AI to respond to offers.","No","The AI responder will learn to accept $3","The AI responder will learn to reject $2",1
"67","id0048","control",1,"I will be responding to offers.","I will be proposing offers.","I will play with both AI and human participants.","Question not asked","Question not asked","Question not asked","Question not asked",1
"68","id0049","training_receiver_self",1,"I will be responding to offers.","I will be proposing offers.","I will play with both AI and human participants.","I will be training an AI to respond to offers.","Yes","The AI responder will learn to accept $5","The AI responder will learn to reject $6",1
"69","id0050","training_receiver_self",1,"I will be responding to offers.","I will be proposing offers.","I will play with both AI and human participants.","I will be training an AI to respond to offers.","Yes","The AI responder will learn to accept $4","The AI responder will learn to reject $2",1
"70","id0051","training_receiver_others",2,"I will be responding to offers.","I will be proposing offers.","I will only play with AI.","I will be training an AI to respond to offers.","No","The AI responder will learn to accept $2","The AI responder will learn to reject $1",0
"71","id0051","training_receiver_others",3,"I will be responding to offers.","I will be proposing offers.","I will only play with AI.","I will be training an AI to propose offers. ","No","The AI responder will learn to accept $3","The AI responder will not learn anything.",0
"72","id0051","training_receiver_others",4,"I will be responding to offers.","I will be proposing offers.","I will only play with AI.","I will be training an AI to respond to offers.","No","The AI responder will learn to accept $4","The AI responder will learn to reject $3",0
"73","id0051","training_receiver_others",5,"I will be responding to offers.","I will be proposing offers.","I will only play with AI.","I will be training an AI to respond to offers.","No","The AI responder will learn to accept $6","The AI responder will learn to reject $6",0
"74","id0051","training_receiver_others",6,"I will be responding to offers.","I will be proposing offers.","I will only play with human participants recruited from a separate Prolific experiment.","I will be training an AI to propose offers. ","No","The AI responder will learn to accept $2","The AI responder will learn to reject $5",0
"75","id0051","training_receiver_others",7,"I will be responding to offers.","I will be proposing offers.","I will play with both AI and human participants.","I will be training an AI to respond to offers.","No","The AI responder will learn to accept $4","The AI responder will learn to reject $4",1
"76","id0051","training_receiver_others",1,"I will be responding to offers.","I will be proposing offers.","I will only play with AI.","I will be training an AI to respond to offers.","No","The AI responder will learn to accept $2","The AI responder will learn to reject $2",0
"77","id0052","training_receiver_others",1,"I will be responding to offers.","I will be proposing offers.","I will play with both AI and human participants.","I will be training an AI to propose offers. ","No","The AI responder will learn to accept $4","The AI responder will learn to reject $5",0
"78","id0052","training_receiver_others",2,"I will be responding to offers.","I will be proposing offers.","I will play with both AI and human participants.","I will be training an AI to respond to offers.","No","The AI responder will learn to accept $3","The AI responder will learn to reject $5",1
"79","id0053","training_receiver_self",1,"I will be responding to offers.","I will be proposing offers.","I will play with both AI and human participants.","I will be training an AI to respond to offers.","Yes","The AI responder will learn to accept $4","The AI responder will learn to reject $2",1
"80","id0054","training_receiver_others",1,"I will be responding to offers.","I will be proposing offers.","I will play with both AI and human participants.","I will be training an AI to respond to offers.","No","The AI responder will learn to accept $3","The AI responder will learn to reject $5",1
"81","id0055","control",1,"I will be responding to offers.","I will be proposing offers.","I will play with both AI and human participants.","Question not asked","Question not asked","Question not asked","Question not asked",1
"82","id0056","training_receiver_others",1,"I will be responding to offers.","I will be proposing offers.","I will play with both AI and human participants.","I will be training an AI to respond to offers.","No","The AI responder will learn to accept $3","The AI responder will learn to reject $2",1
"83","id0057","training_receiver_others",1,"I will be responding to offers.","I will be proposing offers.","I will play with both AI and human participants.","I will be training an AI to respond to offers.","No","The AI responder will learn to accept $2","The AI responder will learn to reject $3",1
"84","id0058","training_receiver_self",2,"I will be responding to offers.","I will be proposing offers.","I will play with both AI and human participants.","I will be training an AI to respond to offers.","Yes","The AI responder will learn to accept $5","The AI responder will learn to reject $6",1
"85","id0058","training_receiver_self",1,"I will be responding to offers.","I will be proposing offers.","I will play with both AI and human participants.","I will be training an AI to propose offers. ","Yes","The AI responder will learn to accept $4","The AI responder will learn to reject $4",0
"86","id0059","training_receiver_self",1,"I will be responding to offers.","I will be proposing offers.","I will play with both AI and human participants.","I will be training an AI to respond to offers.","Yes","The AI responder will learn to accept $6","The AI responder will learn to reject $5",1
"87","id0060","training_receiver_others",1,"I will be responding to offers.","I will be proposing offers.","I will play with both AI and human participants.","I will be training an AI to respond to offers.","No","The AI responder will learn to accept $2","The AI responder will learn to reject $3",1
"88","id0061","training_receiver_others",1,"I will be responding to offers.","I will be proposing offers.","I will play with both AI and human participants.","I will be training an AI to respond to offers.","No","The AI responder will learn to accept $4","The AI responder will learn to reject $6",1
"89","id0062","control",1,"I will be responding to offers.","I will be responding to offers.","I will play with both AI and human participants.","Question not asked","Question not asked","Question not asked","Question not asked",0
"90","id0062","control",2,"I will be responding to offers.","I will be proposing offers.","I will play with both AI and human participants.","Question not asked","Question not asked","Question not asked","Question not asked",1
"91","id0063","control",1,"I will be responding to offers.","I will be proposing offers.","I will play with both AI and human participants.","Question not asked","Question not asked","Question not asked","Question not asked",1
"92","id0064","control",1,"I will be responding to offers.","I will be proposing offers.","I will play with both AI and human participants.","Question not asked","Question not asked","Question not asked","Question not asked",1
"93","id0065","control",1,"I will be responding to offers.","I will be proposing offers.","I will play with both AI and human participants.","Question not asked","Question not asked","Question not asked","Question not asked",1
"94","id0066","training_receiver_self",1,"I will be responding to offers.","I will be proposing offers.","I will play with both AI and human participants.","I will be training an AI to respond to offers.","Yes","The AI responder will learn to accept $1","The AI responder will learn to reject $1",1
"95","id0067","training_receiver_others",1,"I will be responding to offers.","I will be proposing offers.","I will play with both AI and human participants.","I will be training an AI to respond to offers.","No","The AI responder will learn to accept $5","The AI responder will learn to reject $3",1
"96","id0068","training_receiver_others",1,"I will be responding to offers.","I will be proposing offers.","I will play with both AI and human participants.","I will be training an AI to respond to offers.","No","The AI responder will learn to accept $1","The AI responder will learn to reject $4",1
"97","id0069","training_receiver_self",1,"I will be responding to offers.","I will be proposing offers.","I will play with both AI and human participants.","I will be training an AI to propose offers. ","Yes","The AI responder will learn to accept $4","The AI responder will learn to reject $6",0
"98","id0069","training_receiver_self",2,"I will be responding to offers.","I will be proposing offers.","I will play with both AI and human participants.","I will be training an AI to respond to offers.","Yes","The AI responder will learn to accept $6","The AI responder will learn to reject $5",1
"99","id0070","training_receiver_self",1,"I will be responding to offers.","I will be proposing offers.","I will play with both AI and human participants.","I will be training an AI to respond to offers.","Yes","The AI responder will learn to accept $4","The AI responder will learn to reject $1",1
"100","id0071","control",1,"I will be responding to offers.","I will be proposing offers.","I will play with both AI and human participants.","Question not asked","Question not asked","Question not asked","Question not asked",1
"101","id0072","training_receiver_self",1,"I will be responding to offers.","I will be proposing offers.","I will play with both AI and human participants.","I will be training an AI to respond to offers.","Yes","The AI responder will learn to accept $5","The AI responder will learn to reject $6",1
"102","id0073","training_receiver_others",2,"I will be responding to offers.","I will be proposing offers.","I will play with both AI and human participants.","I will be training an AI to respond to offers.","No","The AI responder will learn to accept $1","The AI responder will learn to reject $1",1
"103","id0073","training_receiver_others",1,"I will be responding to offers.","I will be proposing offers.","I will only play with human participants recruited from a separate Prolific experiment.","I will be training an AI to respond to offers.","No","The AI responder will learn to accept $4","The AI responder will learn to reject $1",0
"104","id0074","training_receiver_others",1,"I will be responding to offers.","I will be proposing offers.","I will play with both AI and human participants.","I will be training an AI to respond to offers.","Yes","The AI responder will learn to accept $4","The AI responder will learn to reject $2",0
"105","id0074","training_receiver_others",2,"I will be responding to offers.","I will be proposing offers.","I will play with both AI and human participants.","I will be training an AI to respond to offers.","No","The AI responder will learn to accept $1","The AI responder will learn to reject $1",1
"106","id0075","training_receiver_self",1,"I will be responding to offers.","I will be responding to offers.","I will play with both AI and human participants.","I will be training an AI to respond to offers.","Yes","The AI responder will learn to accept $3","The AI responder will learn to reject $4",0
"107","id0075","training_receiver_self",2,"I will be responding to offers.","I will be proposing offers.","I will play with both AI and human participants.","I will be training an AI to respond to offers.","Yes","The AI responder will learn to accept $4","The AI responder will learn to reject $3",1
"108","id0077","training_receiver_self",1,"I will be responding to offers.","I will be proposing offers.","I will play with both AI and human participants.","I will be training an AI to respond to offers.","Yes","The AI responder will learn to accept $5","The AI responder will learn to reject $2",1
"109","id0078","control",1,"I will be responding to offers.","I will be proposing offers.","I will play with both AI and human participants.","Question not asked","Question not asked","Question not asked","Question not asked",1
"110","id0079","training_receiver_self",1,"I will be responding to offers.","I will be responding to offers.","I will play with both AI and human participants.","I will be training an AI to respond to offers.","Yes","The AI responder will learn to accept $3","The AI responder will learn to reject $5",0
"111","id0079","training_receiver_self",2,"I will be responding to offers.","I will be proposing offers.","I will play with both AI and human participants.","I will be training an AI to respond to offers.","Yes","The AI responder will learn to accept $3","The AI responder will learn to reject $1",1
"112","id0080","training_receiver_self",1,"I will be responding to offers.","I will be proposing offers.","I will play with both AI and human participants.","I will be training an AI to respond to offers.","Yes","The AI responder will learn to accept $6","The AI responder will learn to reject $5",1
"113","id0081","training_receiver_others",1,"I will be responding to offers.","I will be responding to offers.","I will play with both AI and human participants.","I will be training an AI to propose offers. ","Yes","The AI responder will learn to accept $1","The AI responder will learn to reject $4",0
"114","id0081","training_receiver_others",2,"I will be responding to offers.","I will be proposing offers.","I will play with both AI and human participants.","I will be training an AI to propose offers. ","No","The AI responder will learn to accept $2","The AI responder will learn to reject $2",0
"115","id0081","training_receiver_others",3,"I will be responding to offers.","I will be proposing offers.","I will play with both AI and human participants.","I will be training an AI to respond to offers.","No","The AI responder will learn to accept $3","The AI responder will learn to reject $1",1
"116","id0082","training_receiver_self",1,"I will be responding to offers.","I will be proposing offers.","I will play with both AI and human participants.","I will be training an AI to respond to offers.","Yes","The AI responder will learn to accept $2","The AI responder will learn to reject $1",1
"117","id0083","training_receiver_self",1,"I will be responding to offers.","I will be proposing offers.","I will play with both AI and human participants.","I will be training an AI to respond to offers.","Yes","The AI responder will learn to accept $6","The AI responder will learn to reject $5",1
"118","id0085","control",1,"I will be responding to offers.","I will be proposing offers.","I will play with both AI and human participants.","Question not asked","Question not asked","Question not asked","Question not asked",1
"119","id0086","training_receiver_self",1,"I will be responding to offers.","I will be proposing offers.","I will play with both AI and human participants.","I will be training an AI to respond to offers.","Yes","The AI responder will learn to accept $3","The AI responder will learn to reject $1",1
"120","id0088","control",1,"I will be responding to offers.","I will be proposing offers.","I will play with both AI and human participants.","Question not asked","Question not asked","Question not asked","Question not asked",1
"121","id0089","control",1,"I will be responding to offers.","I will be responding to offers.","I will play with both AI and human participants.","Question not asked","Question not asked","Question not asked","Question not asked",0
"122","id0089","control",2,"I will be responding to offers.","I will be proposing offers.","I will play with both AI and human participants.","Question not asked","Question not asked","Question not asked","Question not asked",1
"123","id0090","training_receiver_self",1,"I will be responding to offers.","I will be responding to offers.","I will play with both AI and human participants.","I will be training an AI to respond to offers.","Yes","The AI responder will learn to accept $4","The AI responder will learn to reject $2",0
"124","id0090","training_receiver_self",2,"I will be responding to offers.","I will be proposing offers.","I will play with both AI and human participants.","I will be training an AI to respond to offers.","Yes","The AI responder will learn to accept $2","The AI responder will learn to reject $3",1
"125","id0091","training_receiver_others",1,"I will be responding to offers.","I will be proposing offers.","I will play with both AI and human participants.","I will be training an AI to respond to offers.","No","The AI responder will not learn anything.","The AI responder will learn to reject $2",0
"126","id0091","training_receiver_others",2,"I will be responding to offers.","I will be proposing offers.","I will play with both AI and human participants.","I will be training an AI to respond to offers.","No","The AI responder will learn to accept $1","The AI responder will learn to reject $5",1
"127","id0092","training_receiver_others",1,"I will be responding to offers.","I will be proposing offers.","I will play with both AI and human participants.","I will be training an AI to respond to offers.","No","The AI responder will learn to accept $2","The AI responder will learn to reject $5",1
"128","id0093","training_receiver_self",1,"I will be responding to offers.","I will be proposing offers.","I will play with both AI and human participants.","I will be training an AI to respond to offers.","Yes","The AI responder will learn to accept $5","The AI responder will learn to reject $3",1
"129","id0094","control",1,"I will be responding to offers.","I will be proposing offers.","I will play with both AI and human participants.","Question not asked","Question not asked","Question not asked","Question not asked",1
"130","id0096","training_receiver_others",1,"I will be responding to offers.","I will be proposing offers.","I will play with both AI and human participants.","I will be training an AI to respond to offers.","No","The AI responder will learn to accept $5","The AI responder will learn to reject $5",1
"131","id0097","control",1,"I will be responding to offers.","I will be proposing offers.","I will play with both AI and human participants.","Question not asked","Question not asked","Question not asked","Question not asked",1
"132","id0098","control",1,"I will be responding to offers.","I will be proposing offers.","I will play with both AI and human participants.","Question not asked","Question not asked","Question not asked","Question not asked",1
"133","id0100","control",1,"I will be responding to offers.","I will be proposing offers.","I will play with both AI and human participants.","Question not asked","Question not asked","Question not asked","Question not asked",1
"134","id0101","training_receiver_self",1,"I will be responding to offers.","I will be proposing offers.","I will play with both AI and human participants.","I will be training an AI to respond to offers.","Yes","The AI responder will learn to accept $6","The AI responder will learn to reject $4",1
"135","id0102","training_receiver_others",1,"I will be responding to offers.","I will be proposing offers.","I will play with both AI and human participants.","I will be training an AI to respond to offers.","No","The AI responder will learn to accept $3","The AI responder will learn to reject $1",1
"136","id0103","training_receiver_others",1,"I will be responding to offers.","I will be proposing offers.","I will play with both AI and human participants.","I will be training an AI to respond to offers.","No","The AI responder will learn to accept $5","The AI responder will learn to reject $3",1
"137","id0104","training_receiver_self",1,"I will be responding to offers.","I will be proposing offers.","I will play with both AI and human participants.","I will be training an AI to respond to offers.","Yes","The AI responder will learn to accept $3","The AI responder will learn to reject $1",1
"138","id0105","training_receiver_others",1,"I will be responding to offers.","I will be proposing offers.","I will play with both AI and human participants.","I will be training an AI to respond to offers.","No","The AI responder will learn to accept $4","The AI responder will learn to reject $4",1
"139","id0106","training_receiver_self",1,"I will be responding to offers.","I will be proposing offers.","I will play with both AI and human participants.","I will be training an AI to respond to offers.","Yes","The AI responder will learn to accept $2","The AI responder will learn to reject $3",1
"140","id0107","control",1,"I will be responding to offers.","I will be proposing offers.","I will play with both AI and human participants.","Question not asked","Question not asked","Question not asked","Question not asked",1
"141","id0108","training_receiver_self",2,"I will be responding to offers.","I will be proposing offers.","I will only play with AI.","I will be training an AI to respond to offers.","Yes","The AI responder will not learn anything.","The AI responder will not learn anything.",0
"142","id0108","training_receiver_self",3,"I will be responding to offers.","I will be proposing offers.","I will play with both AI and human participants.","I will be training an AI to respond to offers.","Yes","The AI responder will learn to accept $6","The AI responder will learn to reject $6",1
"143","id0108","training_receiver_self",1,"I will be responding to offers.","I will be responding to offers.","I will only play with AI.","I will be training an AI to respond to offers.","Yes","The AI responder will learn to accept $5","The AI responder will learn to accept $5",0
"144","id0109","training_receiver_others",1,"I will be responding to offers.","I will be proposing offers.","I will play with both AI and human participants.","I will be training an AI to respond to offers.","No","The AI responder will learn to accept $2","The AI responder will learn to reject $5",1
"145","id0110","training_receiver_others",1,"I will be responding to offers.","I will be proposing offers.","I will play with both AI and human participants.","I will be training an AI to respond to offers.","No","The AI responder will learn to accept $2","The AI responder will learn to reject $1",1
"146","id0111","training_receiver_self",1,"I will be responding to offers.","I will be proposing offers.","I will play with both AI and human participants.","I will be training an AI to respond to offers.","Yes","The AI responder will learn to accept $1","The AI responder will learn to reject $2",1
"147","id0112","training_receiver_others",1,"I will be responding to offers.","I will be proposing offers.","I will play with both AI and human participants.","I will be training an AI to respond to offers.","Yes","The AI responder will learn to accept $2","The AI responder will learn to reject $6",0
"148","id0112","training_receiver_others",2,"I will be responding to offers.","I will be proposing offers.","I will play with both AI and human participants.","I will be training an AI to respond to offers.","No","The AI responder will learn to accept $4","The AI responder will learn to reject $1",1
"149","id0113","training_receiver_self",1,"I will be responding to offers.","I will be proposing offers.","I will play with both AI and human participants.","I will be training an AI to respond to offers.","Yes","The AI responder will learn to accept $3","The AI responder will learn to reject $2",1
"150","id0114","training_receiver_others",1,"I will be responding to offers.","I will be proposing offers.","I will only play with AI.","I will be training an AI to respond to offers.","No","The AI responder will learn to accept $5","The AI responder will learn to reject $3",0
